	PC1	PC2	cell_type	AC
SRR5756756	3.70677194005665	8.5353307477255	E7.25	0
SRR5756757	5.44451402163146	16.7193332486533	E7.25	0
SRR5756758	4.5743086320425705	17.7553605754876	E7.25	0
SRR5756759	-0.8371005080821371	14.6390753955199	E7.25	0
SRR5756760	5.32156339174658	-0.42732977031159297	E7.25	0
SRR5756761	4.89383651386444	15.474824442369199	E7.25	0
SRR5756762	3.03581235270902	-0.30925063120957696	E7.25	0
SRR5756763	1.52831855013906	-12.684534411315699	E7.25	1
SRR5756764	0.9605353999089872	4.02581689277233	E7.25	0
SRR5756765	6.5198070181805	4.30677919239573	E7.25	0
SRR5756766	8.38515161577968	7.13289501817554	E7.25	0
SRR5756767	11.1100222212162	1.19920810796536	E7.25	0
SRR5756768	3.02924346753963	5.71473982135463	E7.25	0
SRR5756769	3.99754306552891	6.295012786788241	E7.25	0
SRR5756770	5.622254093718292	-6.8866746474766	E7.25	1
SRR5756771	4.6827078440061385	7.51219977203439	E7.25	0
SRR5756772	8.45150629807413	14.9013547129477	E7.25	0
SRR5756773	8.05840525225986	-3.7318013755087502	E7.25	0
SRR5756774	0.522655856142433	-3.80950650785652	E7.25	1
SRR5756775	8.85674560220915	16.3767755709798	E7.25	0
SRR5756776	2.06881240436519	2.35826370980626	E7.25	0
SRR5756777	6.70458631609352	11.9698489690345	E7.25	0
SRR5756778	-11.1326978965544	27.1482895074014	E7.25	2
SRR5756779	-0.378466640884532	-9.69771461745496	E7.25	1
SRR5756780	11.5795454581899	13.5946849022576	E7.25	0
SRR5756781	12.834207587621801	4.91879868730144	E7.25	0
SRR5756782	4.91132162958706	-14.617493165157098	E7.25	1
SRR5756783	7.41075342754299	-8.61917260641786	E7.25	1
SRR5756784	1.30603880759877	1.72164877125422	E7.25	0
SRR5756785	10.2848592327517	-2.75247782259128	E7.25	0
SRR5756786	-53.567842625255786	14.1030677460704	E6.75	2
SRR5756787	-11.468316960138301	-10.3780598720216	E6.75	1
SRR5756788	-13.9180505109002	-18.0642536737562	E6.75	1
SRR5756789	-16.003952701951498	-8.47537910765118	E6.75	1
SRR5756790	-13.6376450014273	-8.834395529514529	E6.75	1
SRR5756791	-37.4375581248257	2.2241558685216805	E6.75	2
SRR5756792	-44.5368962538854	10.2433697976872	E6.75	2
SRR5756793	-20.2894844896518	-11.3836918019431	E6.75	1
SRR5756794	-18.9093402094977	1.7823266647611895	E6.75	1
SRR5756795	-37.5188742896316	11.100840327560501	E6.75	2
SRR5756796	-16.7705100926934	-15.697185007194701	E6.75	1
SRR5756797	-13.780392894772401	-9.56524426019044	E6.75	1
SRR5756798	-8.405220825141129	-19.9415798781631	E6.75	1
SRR5756799	-20.4753633312591	-8.77425028947961	E6.75	1
SRR5756800	-6.39320273542047	-9.18186679338902	E6.75	1
SRR5756801	-19.149251622537196	-10.4529118260075	E6.75	1
SRR5756802	-21.303679433556894	-0.26493231071896	E6.75	1
SRR5756803	-22.3119935635319	-2.220213959056549	E6.75	1
SRR5756804	-20.1873343098366	-8.68787274724662	E6.75	1
SRR5756805	-20.8828401941648	-8.26889663730212	E6.75	1
SRR5756806	-9.61146264908724	-21.2692571948448	E6.75	1
SRR5756807	-15.422657522859199	-16.343259036046	E6.75	1
SRR5756808	-2.48024831333553	-25.190216414528397	E6.75	1
SRR5756809	-9.78377728219449	-18.768294086010197	E6.75	1
SRR5756810	-3.64926020895523	-12.2363555084728	E6.75	1
SRR5756811	-16.9539565716891	-9.559410820720313	E6.75	1
SRR5756812	-10.658463739947301	-14.399093692816	E6.75	1
SRR5756813	-2.5011771208181	-9.681339246177801	E6.75	1
SRR5756814	-3.19799983627931	-12.6084822314121	E6.75	1
SRR5756815	-6.952868822212089	-9.584476115860198	E6.75	1
SRR5756816	-13.1495932196235	-13.987373121145898	E6.75	1
SRR5756817	-15.493796229951599	-8.41080673521149	E6.75	1
SRR5756818	-7.97978311819761	-15.7721385536202	E6.75	1
SRR5756819	-5.40119490307881	-18.6892547488465	E6.75	1
SRR5756820	-10.3042989163192	-15.548155137618599	E6.75	1
SRR5756821	-11.669130267751	-21.5301392707028	E6.75	1
SRR5756822	-10.5499913090204	-16.6297594064954	E6.75	1
SRR5756823	-11.7905785554161	-10.929465548984599	E6.75	1
SRR5756824	-15.296020498171401	-13.5873643243559	E6.75	1
SRR5756825	-16.3684492463568	-7.22811635062907	E6.75	1
SRR5756826	-17.938743304717	-6.14144241235168	E6.75	1
SRR5756827	-8.67297839581369	-0.28683381202725394	E6.75	0
SRR5756828	-10.4111104402419	-4.36131631343516	E6.75	1
SRR5756829	-3.42329320837295	-14.6224982497893	E6.75	1
SRR5756830	-1.03547793940069	-12.154818958885901	E6.75	1
SRR5756831	-5.0813810958615315	-10.6689252986997	E6.75	1
SRR5756832	-0.13985631768329998	-5.934377547251331	E6.75	1
SRR5756833	-3.19900176271985	-12.7322347676862	E6.75	1
SRR5756834	-41.72909012491221	2.33998078327984	E6.75	2
SRR5756835	-22.8367801921952	-1.90608780259674	E6.75	1
SRR5756836	-21.874009453093706	-3.0501599104625696	E6.75	1
SRR5756837	-12.530819330473197	-12.121466666368999	E6.75	1
SRR5756838	-30.710413819183803	8.821546911486731	E6.75	2
SRR5756839	-51.5409800151448	-2.01314537609799	E6.75	2
SRR5756840	-26.8199599978119	-11.0745586339224	E6.75	1
SRR5756841	-14.553861788450101	-5.30854557777496	E6.75	1
SRR5756842	-27.1242373529817	0.8848972908853451	E6.75	1
SRR5756843	-46.364609474605395	12.2087350961171	E6.75	2
SRR5756844	-36.996340616024	9.879146899783107	E6.75	2
SRR5756845	-9.55070642972801	-15.9306915872759	E6.75	1
SRR5756846	-3.1417387645644395	-13.1715465907783	E6.75	1
SRR5756847	-50.595309915404904	2.90693182576024	E6.75	2
SRR5756848	-3.7925144067151897	-9.39649288031445	E6.75	1
SRR5756849	-30.764650810232396	9.02870363443317	E6.75	2
SRR5756850	-33.713316508274005	0.108557805914616	E6.75	2
SRR5756851	-12.0439267618608	-14.868949252781201	E6.75	1
SRR5756852	-9.70203195494706	-1.4435339861123502	E6.75	0
SRR5756853	-15.4066341128226	-11.122954642333903	E6.75	1
SRR5756854	-5.23353294825603	-7.93552908069616	E6.75	1
SRR5756855	-8.56452614210205	-13.076202035267599	E6.75	1
SRR5756856	-14.819868555313	-3.13829129819871	E6.75	1
SRR5756857	-14.609166401695699	-24.3036587715271	E6.75	1
SRR5756858	0.107208851627596	-5.4581786787102695	E6.75	1
SRR5756859	-22.9047492075483	-12.1579369614844	E6.75	1
SRR5756860	-2.22717007235789	-18.392691148249604	E6.75	1
SRR5756861	-17.792428586763698	-20.587445992402802	E6.75	1
SRR5756862	-3.92184621967821	-10.8812288759868	E6.75	1
SRR5756863	-5.89020808653664	-3.0278750747133194	E6.75	1
SRR5756864	-13.0727956855541	-6.968751764400669	E6.75	1
SRR5756865	-7.86585422173938	-1.56942367108949	E6.75	0
SRR5756866	-19.537389658474893	0.227584230540782	E6.75	1
SRR5756867	-19.9159276458647	0.366404530443918	E6.75	1
SRR5756868	-6.91689665679684	-18.2314761139682	E6.75	1
SRR5756869	8.206786796393871	8.81422294447995	E7.25	0
SRR5756870	-24.074991228814202	22.784213313263106	E7.25	2
SRR5756871	-27.1317042943607	11.713782128083901	E7.25	2
SRR5756872	-0.35606983696543393	4.918359690897018	E7.25	0
SRR5756873	-34.3702833019545	21.5858326622918	E7.25	2
SRR5756874	2.8782088411219595	9.3029849540131	E7.25	0
SRR5756875	3.2071455056578304	2.6716254887213	E7.25	0
SRR5756876	15.2444679401894	8.78560738646181	E7.25	0
SRR5756877	-1.04869027254643	-5.22215537883295	E7.25	1
SRR5756878	-5.482072214603631	-9.040705428617	E7.25	1
SRR5756879	-0.0297101062119925	-5.91310244677836	E7.25	1
SRR5756880	1.16036480697898	4.60646559757304	E7.25	0
SRR5756881	-34.0456165704712	36.7361977440017	E7.25	2
SRR5756882	-4.55410613614028	-6.4447811810302005	E7.25	1
SRR5756883	4.31736031209336	-3.45680345257618	E7.25	1
SRR5756884	6.11086819115389	-4.93951065915974	E7.25	1
SRR5756885	13.748545170132198	5.597559162748588	E7.25	0
SRR5756886	-40.6177728638613	33.5418866198728	E7.25	2
SRR5756887	15.287928670657301	4.893945592219639	E7.25	0
SRR5756888	4.56567752481867	-19.996888709191197	E7.25	1
SRR5756889	1.99818962639192	4.35215653625484	E7.25	0
SRR5756890	6.44297886542931	-2.12859853249935	E7.25	0
SRR5756891	2.49813703495486	8.300070509286309	E7.25	0
SRR5756892	12.616909108661801	-1.90916075352873	E7.25	0
SRR5756893	12.0418621506859	-3.3096112127015496	E7.25	0
SRR5756894	10.758491626696902	4.03436833027912	E7.25	0
SRR5756895	6.31083958281044	10.477063398572199	E7.25	0
SRR5756896	17.169619465028994	7.047400771529981	E7.25	0
SRR5756897	8.73025034141899	-3.88610717481069	E7.25	0
SRR5756898	5.6853892961050585	5.1454643849414685	E7.25	0
SRR5756899	5.4315363074729	-5.59776502849972	E7.25	1
SRR5756900	13.1456595134316	10.9945113694174	E7.25	0
SRR5756901	3.88194614942496	1.1477465586738502	E7.25	0
SRR5756902	1.06948514226906	-3.5883417841815497	E7.25	1
SRR5756903	-24.7851253533147	-0.6129807292514821	E7.25	1
SRR5756904	12.9783129295612	6.86500952766274	E7.25	0
SRR5756905	5.3866195225941205	-14.6893373381091	E7.25	1
SRR5756906	4.10578847739421	-0.29108950423739804	E7.25	0
SRR5756907	0.814743903897103	-5.73756498430532	E7.25	1
SRR5756908	13.9745421503741	-0.210538453559064	E7.25	0
