	PC1	PC2	line_1	line_2	pseudotime	cell_type	AC
SRR4047381	-3.15879133477938	-16.0023837567308	-3.1413671748591296	15.8811532917958	41.09690224518621	NPC	2
SRR4047365	-3.21176957050198	-15.851285134574098	-3.21529859507687	15.8691240120214	41.171808841387794	NPC	2
SRR4047252	-3.67580927907971	-17.7009970115522	-3.30490412895935	15.8513975529407	41.2631509404107	NPC	2
SRR4047274	-4.36039769537439	-18.707621294576498	-3.48175736061997	15.8056045684935	41.4458366349064	NPC	2
SRR4047261	-4.427029223108031	-18.2329727238707	-3.55227321019445	15.783726577281001	41.5196684135705	NPC	2
SRR4047387	-3.3442862105712496	-14.8314455060672	-3.6706108445881895	15.7412833144509	41.6453872517515	NPC	2
SRR4047374	-4.60141869017404	-17.9253189063212	-3.71619311010776	15.7240508597017	41.694118149820106	NPC	2
SRR4047388	-3.60343597470832	-15.440915032760401	-3.7258125960288595	15.7198302211897	41.7046228296742	NPC	2
SRR4047360	-4.15592337952729	-16.6422110577462	-3.74711862957266	15.7104820017058	41.727889464000796	NPC	2
SRR4047364	-3.57484940604167	-15.0362617859405	-3.85072461272443	15.6650239173394	41.841029364916004	NPC	2
SRR4047358	-4.941296138960309	-17.744792877266	-3.8952652175578795	15.645481314579802	41.8896686371304	NPC	2
SRR4047363	-3.3579310444066603	-14.0900709003688	-4.15855428248019	15.4954942332693	42.192682261028295	NPC	2
SRR4047255	-5.240291099460991	-16.4722652456832	-4.44168263020838	15.320696982998099	42.5254220091644	NPC	2
SRR4047392	-4.75172399638894	-14.4790079405402	-5.05323288590185	14.7917023187875	43.3340189854152	NPC	2
SRR4047379	-5.616033084554269	-15.0558824738323	-5.21287646497225	14.637769400283599	43.5557878194238	NPC	2
SRR4047271	-6.051955967597769	-14.5350358703664	-5.638255340131231	14.177980214442899	44.1821689197514	NPC	2
SRR4047370	-3.60928493825127	-11.4608171266134	-6.3326034027988305	13.258548730276	45.3343292758683	NPC	2
SRR4047367	-9.11639425968416	-14.8958857958032	-6.42470220706149	13.119031588951799	45.5015035037562	NPC	2
SRR4047354	-4.8876308871229295	-12.077973545146401	-6.436839404739491	13.1006453879878	45.523534480887605	NPC	2
SRR4047369	-7.84148552073794	-13.526444426111901	-6.66738929055958	12.7513937200669	45.94201981802279	NPC	2
