cell	PC1	PC2	line_1	line_2	pseudotime	cell_type	sex	AC
SRR2727186	-26.1776731789193	2.98850922049576	-27.041334108391	2.31994637753682	22.1055653357654	ES	male	0
SRR2727267	-33.3233632535131	-2.77112859598771	-26.930906339640106	2.17729389482207	22.285964955875894	ES	female	0
SRR2727367	-29.9762954070022	-0.19270343300495	-26.924830905753797	2.16944554528777	22.2958900496951	Epi	female	0
SRR2727202	-30.142738653585898	-0.536466275710437	-26.835805912251896	2.05550969133772	22.4404819868262	ES	male	0
SRR2727228	-30.1820209714541	-0.7200703400164449	-26.764267322865898	1.96423828044623	22.556448534664195	ES	female	0
SRR2727157	-26.431167017403997	2.05317991987723	-26.679889721258107	1.8571595912741297	22.6927769078222	ES	male	0
SRR2727236	-29.016992405182	-0.255474440270291	-26.555665184111	1.7003169530592	22.8928552644518	ES	female	0
SRR2727389	-27.399461994039196	0.559816480540282	-26.3318449465701	1.42036686391175	23.2512789678345	Epi	female	0
SRR2727340	-35.90775470032729	-6.614583897569821	-26.1772964233916	1.22863068995285	23.497547127410694	Epi	female	0
SRR2727400	-25.253191408275104	1.7374711449710198	-26.0582991825346	1.0821217612510698	23.6862935433261	Epi	female	0
SRR2727341	-37.2860440253001	-8.23484888023324	-25.988930134304	0.996900715178753	23.796178444682496	Epi	female	0
SRR2727257	-32.297744614100196	-4.52085444747457	-25.8320499236971	0.8057499432550609	24.043463741631303	ES	female	0
SRR2727354	-23.8091300186589	2.2520189477826	-25.7191638585108	0.669219925897296	24.2206182204145	Epi	female	0
SRR2727171	-27.449238107832603	-0.904914951062461	-25.650154017132696	0.5859426869729171	24.3287730017693	ES	male	0
SRR2727403	-31.5043096560961	-4.39718066536443	-25.601256234666295	0.527196256484582	24.405206870082	Epi	female	0
SRR2727384	-35.168001604909705	-7.54576885630808	-25.555851525735306	0.472767761944488	24.4760873935776	Epi	female	0
SRR2727360	-28.094390232133797	-1.69118008983302	-25.5330878207759	0.445479971310739	24.5116234285443	Epi	female	0
SRR2727383	-34.597793618274395	-7.1474283799398695	-25.5208611928402	0.430823408863594	24.5307102107101	Epi	female	0
SRR2727459	-15.8230467186794	8.4765860560391	-25.4807646130689	0.382978065180236	24.593135466989303	Motor neuron	female	1
SRR2727225	-22.9138389043197	2.23031501876021	-25.3228857980976	0.195318141639824	24.838374059221398	ES	female	0
SRR2727417	-29.978811436567	-4.00037886800508	-25.205677737746	0.0571602106747839	25.0195517159562	Epi	female	0
SRR2727241	-29.6806439849027	-3.81814406177818	-25.170526947862	0.0158101666006964	25.0738232939174	ES	female	0
SRR2727345	-35.540840453306714	-8.80695407523914	-25.1669827642388	0.0116409246146791	25.0792953882416	Epi	female	0
SRR2727206	-25.9090508679841	-0.652876091485046	-25.1503522429803	-0.00792258417930955	25.104972325630303	ES	male	0
SRR2727223	-24.676312395805503	0.189252497525232	-25.0474328857127	-0.128461618399314	25.2634717037712	ES	female	0
SRR2727275	-26.3719270922984	-1.29590237010184	-25.0308589060812	-0.14782161259619198	25.2889571148162	ES	female	0
