exon	frequency	size	mean_expression	read_counts	psi_mean	psi_binary
N6amt1_1	0.19187264130602352	0.7076942289928889	0.7741099519141812	0.9305681576151352	0.23516825788484474	0.06062462181643484
Nap1l4_1	0.5090746078041326	0.6259557966351117	1.4982763718196388	1.0168828300330552	0.06509274117286434	-1.586965056582042
Nbr1_2	0.20104144312388345	0.884209398108122	0.9275111398607689	0.4018350525555618	0.11394541912936573	0.8109302162163288
Ncoa6_3	0.027749679841985963	2.337364767556637	0.5682247475870437	0.2099495263166486	0.27095238095238094	1.1895840668738367
Ncor1_2	0.3968625940979572	0.9211558889369694	1.304039430344912	0.6773109437471547	0.18978673887137287	0.8183103235139513
Ncor1_3	0.3968625940979572	0.9211558889369694	1.304039430344912	0.1478016195678042	0.24712643678160906	2.6026896854443833
Ndel1_1	0.1671600902052878	0.49641023486892943	0.6878319597085082	0.32203294223936163	0.12598083258460618	1.4586150226995171
Ndrg2_1	0.15993504483210993	0.38263354579818687	0.2974221012454834	0.1505766736225763	0.2466666666666667	3.178053830347945
Ndrg3_1	0.03971503848499012	0.8967519737311324	0.7873872729988861	0.4432277377137869	0.2759093245935351	1.0986122886681098
Ndufs1_5	0.3020280390793925	0.7686302825792004	1.5324557579897318	0.7225746372314332	0.16329455976147678	-0.019802627296179754
Ndufs1_6	0.3020280390793925	0.7686302825792004	1.5324557579897318	0.8473280550906429	0.017901003710674934	-0.8145080375642126
Nfya_3	0.16702158292973668	0.6868671343816897	0.40611824817179	0.13076828026902382	0.14444444444444438	1.6094379124341007
Nfya_8	0.16702158292973668	0.6868671343816897	0.40611824817179	0.13936845203094142	0.23188405797101463	1.55814461804655
Nipal3_2	0.04677698774277315	0.9934599278170194	0.3310917556796765	0.10080505689158058	0.09047619047619049	1.7917594692280545
Nktr_nmdSE_1	0.09757143294350105	0.9084833852232652	0.7205622833641687	0.2664308822690969	0.11563307493540048	1.4759065198095778
Nmi_1	0.04834591022117471	0.3976601571339531	0.3440526937473536	0.19771506989963697	0.14824561403508763	1.6094379124341007
Nmi_2	0.04834591022117471	0.3976601571339531	0.3440526937473536	0.14219774204980565	0.23737373737373746	2.8332133440562157
Nol12_3	0.34752937025452557	0.3985323468442641	1.5430905269200452	0.13936845203094142	0.2163561076604555	1.55814461804655
